Publisher,count,Global_Avg_Sales
Jack of All Games,3,0.2
GN Software,3,0.02
Daedalic,3,0.09333333333333334
DHM Interactive,3,0.06
Angel Studios,3,0.14666666666666664
Data Design Interactive,3,0.09666666666666668
Insomniac Games,3,0.04
Indie Games,3,0.10666666666666667
Arika,3,0.035
Aruze Corp,3,0.39333333333333337
Iceberg Interactive,3,0.03
Ascaron Entertainment GmbH,3,0.03666666666666667
Hect,3,0.16666666666666666
Accolade,3,0.745
Asmik Ace Entertainment,3,0.07666666666666667
1C Company,3,0.03333333333333333
ASC Games,3,0.6733333333333333
Essential Games,3,0.07666666666666667
Licensed 4U,3,0.025
Focus Multimedia,3,0.015
Experience Inc.,3,0.025
Athena,2,0.045000000000000005
Nitroplus,2,0.01
Performance Designed Products,2,0.18
Dorart,2,0.015
Nippon Telenet,2,0.13
Pack-In-Video,2,0.055
Blue Byte,2,0.015
Big Fish Games,2,0.025
Groove Games,2,0.045
BPS,2,0.26
Office Create,2,0.03
Sonnet,2,0.03
HMH Interactive,2,0.07
Hamster Corporation,2,0.15000000000000002
CTO SpA,2,0.45
Electronic Arts Victor,2,0.21
Elf,2,0.32
Harmonix Music Systems,2,0.4
Dusenberry Martin Racing,2,0.025
Easy Interactive,2,0.025
Revolution Software,2,0.034999999999999996
Coconuts Japan,2,0.035
Cloud Imperium Games Corporation,2,0.04
Sweets,2,0.025
Data East,2,0.075
Syscom,2,0.135
Funcom,2,0.1
G.Rev,2,0.02
Red Orb,2,2.62
Rebellion Developments,2,0.15000000000000002
Datam Polystar,2,0.015
Rebellion,2,0.245
Data Age,2,0.355
Flight-Plan,2,0.06
Asmik Corp,2,0.085
Flashpoint Games,2,0.04
Gainax Network Systems,2,0.08
Gakken,2,0.02
Crimson Cow,2,0.04
Game Life,2,0.15000000000000002
Devolver Digital,2,0.02
Core Design Ltd.,2,0.14500000000000002
Gamebridge,2,0.365
responDESIGN,2,0.065
Edia,2,0.045000000000000005
Misawa,2,0.035
Vatical Entertainment,2,0.11
Media Factory,2,0.14500000000000002
Lexicon Entertainment,2,0.025
Zenrin,2,0.03
Yamasa Entertainment,2,0.02
Moss,2,0.065
Views,2,0.015
Aerosoft,2,0.015
Arena Entertainment,2,2.36
Vic Tokai,2,0.135
Virtual Play Games,2,0.03
Alvion,2,0.02
Liquid Games,2,0.135
Mamba Games,2,0.025
Alawar Entertainment,2,0.025
Magix,2,0.175
Milestone S.r.l,2,0.025
NetRevo,2,0.015
imageepoch Inc.,2,0.02
HuneX,2,0.015
Yumedia,1,0.06
ASK,1,0.03
Westwood Studios,1,1.55
Xing Entertainment,1,0.24
Abylight,1,0.08
Activision Blizzard,1,0.48
Adeline Software,1,0.17
White Park Bay Software,1,0.16
Wizard Video Games,1,0.62
Sunflowers,1,0.03
Summitsoft,1,0.04
989 Sports,1,0.38
49Games,1,0.04
"mixi, Inc",1,0.86
inXile Entertainment,1,0.1
Ecole,1,0.06
EON Digital Entertainment,1,0.01
EA Games,1,0.15
Square EA,1,0.8
DreamWorks Interactive,1,0.13
Stainless Games,1,0.01
id Software,1,0.03
Starpath Corp.,1,0.33
iWin,1,0.06
DigiCube,1,0.06
fonfun,1,0.02
Strategy First,1,0.03
Detn8 Games,1,0.23
WayForward Technologies,1,0.05
2D Boy,1,0.04
T&E Soft,1,0.12
Ultravision,1,0.47
Cygames,1,0.03
Sony Music Entertainment,1,0.14
BushiRoad,1,0.03
Boost On,1,0.01
Bomb,1,0.22
Bohemia Interactive,1,0.12
Aques,1,0.16
Black Label Games,1,1.2
Berkeley,1,0.03
Tripwire Interactive,1,0.14
Type-Moon,1,0.1
CCP,1,0.22
Vap,1,0.05
Aria,1,0.07
Valve,1,1.74
Axela,1,0.25
UEP Systems,1,2.25
Ascaron Entertainment,1,0.01
UIG Entertainment,1,0.01
Universal Gamex,1,0.63
CBS Electronics,1,0.31
The Learning Company,1,0.05
Culture Publishers,1,0.09
Takuyo,1,0.01
Warp,1,0.07
Altron,1,0.07
TOHO,1,0.11
Wargaming.net,1,0.29
TYO,1,0.42
Warashi,1,0.02
Commseed,1,0.01
CokeM Interactive,1,0.31
TalonSoft,1,0.87
CPG Products,1,0.54
Team17 Software,1,0.05
TechnoSoft,1,0.05
Technos Japan Corporation,1,0.02
Codemasters Online,1,0.02
American Softworks,1,0.23
Visco,1,0.02
Tetris Online,1,0.43
Answer Software,1,0.5
Tryfirst,1,0.03
MLB.com,1,0.04
Sold Out,1,0.02
Naxat Soft,1,0.01
Monte Christo Multimedia,1,0.05
Interplay Productions,1,0.1
Intergrow,1,0.03
Mycom,1,0.02
Interchannel-Holon,1,0.01
Mystique,1,0.82
NDA Productions,1,0.12
Imax,1,0.06
Imageworks,1,0.02
Image Epoch,1,0.1
Imadio,1,0.14
Navarre Corp,1,0.05
Illusion Softworks,1,0.7
Mitsui,1,0.08
New,1,0.36
New World Computing,1,0.01
Nexon,1,0.03
Nichibutsu,1,0.28
ITT Family Games,1,0.34
Nippon Amuse,1,0.09
Her Interactive,1,0.03
Hello Games,1,1.6
Hearty Robin,1,0.09
Headup Games,1,0.03
Havas Interactive,1,0.13
Number None,1,0.03
"Interworks Unlimited, Inc.",1,0.01
Mirai Shounen,1,0.02
Societa,1,0.04
King Records,1,0.02
Magical Company,1,0.41
Locus,1,0.07
Marvel Entertainment,1,0.05
Marvelous Games,1,0.02
Lighthouse Interactive,1,0.02
Masque Publishing,1,0.02
Legacy Interactive,1,0.04
Max Five,1,0.05
Maximum Family Games,1,0.03
Kool Kizz,1,0.04
Media Entertainment,1,0.01
Kokopeli Digital Studios,1,0.03
MediaQuest,1,0.05
Inti Creates,1,0.01
Men-A-Vision,1,0.77
Kids Station,1,0.03
Karin Entertainment,1,0.02
Merscom LLC,1,0.2
Kando Games,1,0.03
Michaelsoft,1,0.01
Kamui,1,0.03
KSS,1,0.03
Just Flight,1,0.03
Milestone,1,0.08
Ivolgamus,1,0.04
Introversion Software,1,0.02
On Demand,1,0.21
Ongakukan,1,0.01
Origin Systems,1,0.09
Fortyfive,1,0.06
Quelle,1,0.87
Quest,1,0.71
Gaga,1,0.02
Quintet,1,0.02
RED Entertainment,1,0.02
GOA,1,0.02
Rain Games,1,0.01
FunSoft,1,0.12
Revolution (Japan),1,0.02
Fuji,1,0.03
Riverhillsoft,1,0.04
FuRyu Corporation,1,0.03
Fields,1,0.03
Otomate,1,0.01
SPS,1,0.12
SSI,1,0.19
Extreme Entertainment Group,1,0.03
Saurus,1,0.02
Evolution Games,1,0.07
Sears,1,0.21
Ertain,1,0.05
Seventh Chord,1,0.08
Epic Games,1,0.01
Simon & Schuster Interactive,1,0.11
Enjoy Gaming ltd.,1,0.1
Elite,1,0.07
Game Arts,1,0.14
Pow,1,0.05
PopTop Software,1,0.11
GameTek,1,0.1
HAL Laboratory,1,0.06
PM Studios,1,0.1
Griffin International,1,0.09
Pacific Century Cyber Works,1,0.26
Pack In Soft,1,0.48
Palcom,1,4.17
Panther Software,1,0.17
Graphsim Entertainment,1,0.02
Paon Corporation,1,0.03
Paradox Development,1,0.01
Grand Prix Games,1,0.06
Glams,1,0.08
Phantagram,1,0.05
Phantom EFX,1,0.09
Giza10,1,0.02
Phoenix Games,1,0.02
Piacci,1,0.01
Giga,1,0.02
Genterprise,1,0.01
General Entertainment,1,0.14
Gameloft,1,0.11
Playmates,1,0.28
Playmore,1,0.04
Plenty,1,0.02
Pony Canyon,1,0.05
SCS Software,1,0.13
